Long,Lat,Stn_Name,Clim_ID,Prov_or_Ter,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,year
-123.426,48.647,VICTORIA INTL A,1018621,BC,5.6,0.0,,12.2,0.0,-0.8,0.0,0.0,0.0,,223.7,0.0,,,21.0,,,,385.9,0.0,2018
-123.539,48.34,WILLIAM HEAD,1018935,BC,7.3,0.0,1.6,13.5,0.0,3.0,0.0,0.0,0.0,0.0,165.7,0.0,108.0,0.0,18.0,,,,331.5,0.0,2018
-124.16,49.35,BALLENAS ISLAND,1020590,BC,6.2,0.0,,11.4,0.0,1.6,0.0,,,,193.6,0.0,,,17.0,,,,366.6,0.0,2018
-125.273,49.952,CAMPBELL RIVER A,1021261,BC,2.7,1.0,0.3,11.5,1.0,-7.5,1.0,19.8,1.0,,398.1,1.0,,0.0,24.0,,,,459.0,0.0,2018
-125.195,49.998,CAPE MUDGE,1021330,BC,4.8,0.0,0.7,11.0,0.0,-1.5,0.0,4.0,0.0,29.0,382.3,0.0,167.0,0.0,24.0,,,,409.8,0.0,2018
-124.683,49.472,CHROME ISLAND,1021500,BC,5.5,0.0,,12.0,0.0,-1.0,0.0,5.8,0.0,,407.8,0.0,,0.0,25.0,,,,386.0,0.0,2018
-124.9,49.717,COMOX A,1021830,BC,4.6,0.0,0.8,12.0,0.0,-3.1,0.0,6.4,0.0,54.0,318.6,0.0,185.0,,24.0,,,,414.3,0.0,2018
-124.949,50.071,CORTES ISLAND TIBER BAY,1021960,BC,4.1,0.0,,12.5,0.0,-5.5,0.0,1.8,0.0,,304.5,0.0,,0.0,23.0,,,,431.0,0.0,2018
-125.033,49.686,COURTENAY PUNTLEDGE,1021989,BC,3.7,1.0,,10.0,1.0,-3.5,0.0,11.0,1.0,,394.3,1.0,,0.0,24.0,,,,428.0,0.0,2018
-123.811,49.209,ENTRANCE ISLAND,1022689,BC,6.2,0.0,,11.7,0.0,1.0,0.0,,,,122.0,0.0,,,17.0,,,,366.6,0.0,2018
-125.993,50.454,FANNY ISLAND,1022795,BC,5.4,0.0,,10.9,0.0,0.4,0.0,,,,361.0,0.0,,,23.0,,,,392.0,0.0,2018
-125.203,50.099,HERIOT BAY SE,1023462,BC,4.7,3.0,,11.0,3.0,-2.0,3.0,3.0,3.0,,346.0,3.0,,0.0,22.0,,,,372.1,0.0,2018
-124.512,49.353,LITTLE QUALICUM HATCHERY,1024638,BC,4.6,16.0,1.4,11.0,16.0,-1.0,16.0,0.0,16.0,,122.9,16.0,,0.0,13.0,,,,201.5,0.0,2018
-123.87,49.054,NANAIMO A,1025369,BC,4.1,0.0,,11.5,0.0,-4.0,0.0,0.0,0.0,,308.4,0.0,,0.0,24.0,,,,431.4,0.0,2018
-123.988,49.199,NANAIMO CITY YARD,10253G0,BC,,,,,,,,0.0,0.0,0.0,331.8,0.0,179.0,0.0,22.0,,,,,,2018
-127.728,50.976,PINE ISLAND,1026170,BC,6.5,2.0,1.0,14.0,2.0,2.0,2.0,0.0,2.0,,283.2,2.0,,0.0,25.0,,,,334.5,0.0,2018
-127.367,50.681,PORT HARDY A,1026271,BC,4.4,0.0,,11.9,0.0,-1.8,0.0,0.0,0.0,,302.4,0.0,,,26.0,,,,420.7,0.0,2018
-124.394,49.337,QUALICUM BEACH AIRPORT,1026562,BC,4.6,0.0,,12.1,0.0,-1.3,0.0,,,,228.5,0.0,,,18.0,,,,416.8,0.0,2018
-124.617,49.394,QUALICUM R FISH RESEARCH,1026565,BC,5.0,0.0,1.1,11.0,0.0,-1.0,0.0,1.2,0.0,12.0,346.1,0.0,164.0,0.0,26.0,,,,404.4,0.0,2018
-125.304,50.016,QUINSAM RIVER HATCHERY,1026639,BC,3.6,4.0,0.8,12.0,2.0,-5.0,4.0,8.0,2.0,,374.4,2.0,,0.0,21.0,,,,390.0,0.0,2018
-124.435,49.487,SISTERS ISLAND,1027403,BC,6.4,0.0,,13.0,0.0,1.1,0.0,,,,,,,,,,,,359.3,0.0,2018
-123.809,49.209,ENTRANCE ISLAND,102BFHH,BC,6.0,0.0,,11.0,0.0,1.0,0.0,0.0,0.0,,208.2,0.0,,0.0,20.0,,,,371.4,0.0,2018
-124.982,49.337,ALBERNI ROBERTSON CREEK,1030230,BC,3.2,2.0,1.2,8.5,2.0,-2.0,2.0,0.0,2.0,,581.6,2.0,,0.0,24.0,,,,428.1,0.0,2018
-125.216,48.786,CAPE BEALE LIGHT,1031316,BC,6.9,0.0,1.0,12.0,0.0,0.5,0.0,0.0,0.0,0.0,642.2,0.0,150.0,0.0,28.0,,,,343.6,0.0,2018
-126.543,49.383,ESTEVAN POINT,1032730,BC,6.7,0.0,0.8,13.5,0.0,1.0,0.0,0.0,0.0,0.0,623.8,0.0,137.0,0.0,26.0,,,,349.3,0.0,2018
-126.543,49.383,ESTEVAN POINT CS,1032731,BC,6.4,1.0,,12.9,1.0,0.9,0.0,,,,580.0,1.0,,,26.0,,,,348.5,0.0,2018
-125.923,49.111,LENNARD ISLAND,1034600,BC,6.2,0.0,,15.0,0.0,0.0,0.0,3.4,0.0,99.0,700.4,0.0,153.0,0.0,27.0,,,,365.2,0.0,2018
-124.655,48.859,NITINAT RIVER HATCHERY,1035612,BC,5.1,0.0,1.2,12.5,0.0,-1.0,0.0,1.0,0.0,7.0,869.9,0.0,146.0,0.0,26.0,,,,398.6,0.0,2018
-126.617,49.6,NOOTKA LIGHTSTATION,1035614,BC,6.5,2.0,1.0,15.5,2.0,1.5,2.0,0.0,2.0,,632.0,2.0,,0.0,25.0,,,,332.3,0.0,2018
-125.097,48.723,PACHENA POINT,1035940,BC,6.8,1.0,1.1,12.0,1.0,2.0,1.0,0.4,1.0,,525.6,1.0,,0.0,26.0,,,,335.4,0.0,2018
-124.752,49.202,PORT ALBERNI COX LAKE,1036208,BC,4.5,16.0,1.6,10.0,16.0,0.0,16.0,3.0,16.0,,419.6,16.0,,0.0,15.0,,,,202.7,0.0,2018
-127.653,50.534,QUATSINO,1036570,BC,5.4,0.0,1.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,392.0,0.0,111.0,0.0,26.0,,,,392.0,0.0,2018
-124.927,49.317,PORT ALBERNI (AUT),1036B06,BC,3.2,6.0,,11.2,6.0,-2.2,5.0,,,,396.3,6.0,,0.0,21.0,,,,369.8,0.0,2018
-128.908,50.821,SARTINE ISLAND (AUT),1037090,BC,6.4,1.0,,14.1,1.0,1.8,0.0,,,,594.2,1.0,,,25.0,,,,347.2,0.0,2018
-127.94,50.112,SOLANDER ISLAND (AUT),1037553,BC,6.5,1.0,,18.3,1.0,1.5,0.0,,,,221.4,2.0,,,24.0,,,,343.8,0.0,2018
-126.654,49.932,TAHSIS VILLAGE NORTH,1037899,BC,5.4,16.0,,12.0,16.0,1.0,16.0,,,,586.3,17.0,,,14.0,,,,189.3,0.0,2018
-125.773,49.082,TOFINO A,1038205,BC,6.2,0.0,0.9,15.0,0.0,-2.0,0.0,0.0,0.0,0.0,700.4,0.0,144.0,0.0,27.0,,,,365.4,0.0,2018
-125.527,48.945,UCLUELET KENNEDY CAMP,1038332,BC,6.5,0.0,1.0,15.0,0.0,-1.5,0.0,0.0,0.0,0.0,772.0,0.0,154.0,0.0,27.0,,,,355.7,0.0,2018
-126.779,50.053,ZEBALLOS MURAUDE CREEK,1039035,BC,4.4,0.0,,14.5,0.0,-0.5,0.0,15.6,0.0,,755.0,0.0,,3.0,26.0,,,,422.5,0.0,2018
-123.402,49.36,BOWEN ISLAND SUNSET PARK,104091B,BC,,,,,,,,0.0,9.0,,374.8,9.0,,0.0,22.0,,,,,,2018
-123.541,49.386,GIBSONS GOWER POINT,1043152,BC,5.6,0.0,1.0,12.0,0.0,-1.0,0.0,0.0,0.0,0.0,270.4,0.0,145.0,0.0,24.0,,,,383.7,0.0,2018
-123.913,49.468,MERRY ISLAND LIGHTSTATION,1045100,BC,6.3,0.0,0.9,11.5,0.0,1.0,0.0,0.0,0.0,0.0,226.6,0.0,167.0,0.0,24.0,,,,363.9,0.0,2018
-123.299,49.488,HOWE SOUND - PAM ROCKS,10459NN,BC,6.0,0.0,,12.5,0.0,0.8,0.0,,,,192.2,0.0,,,21.0,,,,372.3,0.0,2018
-124.032,49.634,PENDER HARBOUR,1046115,BC,,,,,,,,0.0,0.0,,195.5,0.0,,0.0,23.0,,,,,,2018
-123.496,49.526,PORT MELLON,1046332,BC,4.9,2.0,,11.7,2.0,-2.0,0.0,,,,767.7,1.0,,0.0,23.0,,,,380.4,0.0,2018
-124.5,49.834,POWELL RIVER A,1046391,BC,4.1,0.0,0.5,10.5,0.0,-5.0,0.0,8.4,0.0,62.0,293.1,0.0,184.0,0.0,24.0,,,,431.7,0.0,2018
-124.497,49.835,POWELL RIVER,1046392,BC,4.1,0.0,,10.8,0.0,-4.1,0.0,,,,,,,,,,,,429.4,0.0,2018
-123.715,49.458,SECHELT AUT,1047172,BC,5.2,0.0,,12.8,0.0,-3.4,0.0,,,,206.3,0.0,,0.0,22.0,,,,397.7,0.0,2018
-123.161,49.783,SQUAMISH AIRPORT,10476F0,BC,2.9,0.0,,10.8,0.0,-7.6,0.0,,,,481.3,0.0,,0.0,23.0,,,,466.7,0.0,2018
-122.955,50.129,WHISTLER,1048898,BC,-0.9,1.0,1.2,4.5,1.0,-13.5,1.0,141.8,1.0,,225.6,1.0,,98.0,22.0,,,,566.8,0.0,2018
-131.016,51.936,CAPE ST JAMES,1051351,BC,5.9,4.0,,11.9,4.0,0.7,2.0,,,,,,,,,,,,327.8,0.0,2018
-132.772,53.316,KINDAKUN ROCKS (AUT),1054222,BC,6.5,1.0,,18.3,1.0,0.9,0.0,,,,119.8,1.0,,,20.0,,,,344.2,0.0,2018
-133.058,54.255,LANGARA,1054500,BC,4.7,0.0,0.7,11.5,0.0,-0.5,0.0,5.0,0.0,25.0,155.0,0.0,75.0,0.0,24.0,,,,411.1,0.0,2018
-131.661,54.159,ROSE SPIT (AUT),1056869,BC,4.8,0.0,,11.5,0.0,-0.7,0.0,,,,159.8,0.0,,,25.0,,,,408.0,0.0,2018
-131.813,53.249,SANDSPIT AIRPORT AUTO,1057051,BC,4.9,3.0,,10.1,3.0,-1.5,0.0,,,,181.8,3.0,,,17.0,,,,367.7,0.0,2018
-131.814,53.254,SANDSPIT,1057052,BC,5.8,16.0,,9.6,16.0,0.2,16.0,,,,145.4,16.0,,,13.0,,,,183.2,0.0,2018
-127.864,51.604,ADDENBROKE ISLAND,1060080,BC,5.7,3.0,1.1,15.0,3.0,-0.5,3.0,1.0,3.0,,316.2,3.0,,0.0,22.0,,,,343.9,0.0,2018
-128.157,52.185,BELLA BELLA,1060815,BC,4.0,5.0,,13.2,5.0,-3.6,5.0,,,,301.2,5.0,,,19.0,,,,363.3,0.0,2018
-126.587,52.389,BELLA COOLA AIRPORT,1060844,BC,0.5,3.0,,7.0,3.0,-9.2,3.0,,,,78.8,4.0,,1.0,12.0,,,,489.6,0.0,2018
-128.524,52.643,BOAT BLUFF,1060901,BC,4.7,0.0,1.1,11.5,0.0,-2.0,0.0,14.0,0.0,51.0,504.2,0.0,84.0,0.0,23.0,,,,413.6,0.0,2018
-130.638,53.493,BONILLA ISLAND,1060902,BC,6.1,0.0,1.2,18.5,0.0,-1.0,0.0,0.8,0.0,9.0,232.6,0.0,98.0,0.0,23.0,,,,367.6,0.0,2018
-130.639,53.493,BONILLA ISLAND (AUT),1060R0K,BC,5.9,10.0,,10.7,10.0,1.3,5.0,,,,118.2,11.0,,,15.0,,,,253.7,0.0,2018
-127.471,52.187,CATHEDRAL POINT (AUT),1061458,BC,3.3,1.0,,8.6,1.0,-4.7,0.0,,,,140.0,10.0,,,13.0,,,,441.0,0.0,2018
-131.602,53.03,CUMSHEWA ISLAND,1062251,BC,6.1,1.0,,10.8,1.0,1.3,0.0,,,,50.6,4.0,,,9.0,,,,355.8,0.0,2018
-128.112,52.185,DRYAD POINT,1062544,BC,5.3,0.0,1.1,12.0,0.0,-2.0,0.0,1.0,0.0,9.0,249.8,0.0,89.0,0.0,22.0,,,,393.9,0.0,2018
-127.835,51.247,EGG ISLAND,1062646,BC,6.0,10.0,1.1,17.5,10.0,1.0,10.0,0.0,10.0,,231.0,10.0,,0.0,17.0,,,,251.2,0.0,2018
-130.698,54.58,GREY ISLET (AUT),1063303,BC,4.3,2.0,,11.3,2.0,-3.7,0.0,,,,146.2,7.0,,,17.0,,,,398.1,0.0,2018
-127.632,50.94,HERBERT ISLAND (AUT),1063461,BC,6.6,0.0,,14.0,0.0,2.0,0.0,,,,134.2,0.0,,,24.0,,,,354.2,0.0,2018
-130.361,54.172,HOLLAND ROCK,1063496,BC,5.3,0.0,,16.4,0.0,-1.9,0.0,,,,106.2,3.0,,,16.0,,,,393.7,0.0,2018
-128.407,52.27,IVORY ISLAND,1063690,BC,5.7,0.0,1.3,12.0,0.0,-1.0,0.0,0.0,0.0,0.0,281.4,0.0,95.0,0.0,22.0,,,,381.8,0.0,2018
-127.943,53.563,KEMANO,1064020,BC,-0.1,0.0,1.3,6.0,0.0,-11.0,0.0,68.4,0.0,115.0,172.6,0.0,69.0,69.0,22.0,,,,561.8,0.0,2018
-128.634,54.054,KITIMAT TOWNSITE,1064320,BC,-1.9,2.0,-0.2,5.0,2.0,-16.0,0.0,104.0,0.0,112.0,202.1,0.0,70.0,0.0,21.0,,,,577.0,0.0,2018
-128.705,54.01,KITIMAT 2,1064321,BC,-0.9,4.0,0.1,8.5,4.0,-12.0,4.0,83.0,4.0,,202.7,4.0,,0.0,18.0,,,,509.0,0.0,2018
-130.609,54.296,LUCY ISLAND LIGHTSTATION,1064728,BC,5.1,0.0,,12.4,0.0,-1.2,0.0,,,,,,,,,,,,398.5,0.0,2018
-128.719,52.262,MCINNES ISLAND,1065010,BC,6.0,0.0,1.3,11.0,0.0,0.5,0.0,0.0,0.0,0.0,254.5,0.0,84.0,0.0,22.0,,,,372.2,0.0,2018
-130.445,54.286,PRINCE RUPERT,1066482,BC,3.8,8.0,,13.5,8.0,-5.8,8.0,,,,117.3,8.0,,,14.0,,,,326.4,0.0,2018
-130.29,54.32,PRINCE RUPERT MONT CIRC,1066488,BC,,,,,,,,0.0,21.0,,106.6,21.0,,,10.0,,,,,,2018
-128.625,54.502,TERRACE PCC,1068131,BC,-0.9,0.0,1.1,6.0,0.0,-11.0,0.0,73.0,0.0,162.0,131.2,0.0,97.0,35.0,16.0,,,,584.4,0.0,2018
-128.578,54.469,TERRACE A,1068134,BC,-2.3,0.0,,3.7,0.0,-13.9,0.0,112.7,0.0,,137.3,0.0,,55.0,21.0,,,,628.7,0.0,2018
-130.88,54.295,TRIPLE ISLAND,1068250,BC,5.5,0.0,,12.5,0.0,-1.0,0.0,0.0,0.0,,126.0,0.0,,0.0,21.0,,,,387.2,0.0,2018
-128.682,54.044,KITIMAT HATCHERY,106D289,BC,0.2,19.0,,5.0,19.0,-7.0,19.0,2.0,19.0,,59.0,19.0,,,8.0,,,,213.2,0.0,2018
-126.277,54.199,EQUITY SILVER,1072692,BC,-7.6,0.0,0.8,2.0,0.0,-28.0,0.0,77.0,0.0,122.0,77.0,0.0,119.0,0.0,13.0,,,,792.7,0.0,2018
-126.668,54.396,HOUSTON,1073615,BC,-6.6,8.0,,2.0,8.0,-25.0,8.0,8.0,11.0,,8.0,11.0,,49.0,2.0,,,,565.1,0.0,2018
-127.183,54.825,SMITHERS,1077499,BC,-6.8,6.0,,2.2,6.0,-21.8,6.0,,,,16.4,6.0,,,6.0,,,,619.8,0.0,2018
-127.183,54.825,SMITHERS A,1077500,BC,-5.8,0.0,1.5,2.0,0.0,-21.0,0.0,48.8,0.0,110.0,30.8,0.0,72.0,51.0,11.0,,,,736.7,0.0,2018
-127.189,54.824,SMITHERS AIRPORT AUTO,1077501,BC,-6.2,1.0,,2.2,1.0,-21.8,0.0,,,,29.4,3.0,,47.0,11.0,,,,725.2,0.0,2018
-127.171,55.289,SUSKWA VALLEY,107G879,BC,-6.3,1.0,0.2,3.0,1.0,-21.5,1.0,51.2,1.0,,53.0,1.0,,58.0,14.0,,,,727.6,0.0,2018
-125.997,53.772,OOTSA LAKESKINS LAKE CLIMATE,1085836,BC,-8.0,0.0,,2.3,0.0,-28.2,0.0,,,,34.7,0.0,,41.0,11.0,,,,806.1,0.0,2018
-122.734,50.306,PEMBERTON AIRPORT CS,1086082,BC,-0.4,0.0,,5.8,0.0,-14.2,0.0,,,,157.1,0.0,,23.0,19.0,,,,570.6,0.0,2018
-124.136,52.114,PUNTZI MOUNTAIN (AUT),1086558,BC,-10.2,0.0,,4.6,0.0,-33.3,0.0,,,,26.4,0.0,,29.0,10.0,,,,873.8,0.0,2018
-124.403,51.675,TATLAYOKO LAKE RCS,1088015,BC,-5.6,0.0,,5.0,0.0,-25.4,0.0,,,,59.6,0.0,,35.0,9.0,,,,732.4,0.0,2018
-125.959,54.383,BURNS LAKE DECKER LAKE,1091174,BC,-8.8,0.0,,2.3,0.0,-29.9,0.0,,,,36.8,0.0,,58.0,12.0,,,,832.2,0.0,2018
-124.286,54.455,FORT ST JAMES,1092970,BC,-8.6,13.0,1.0,3.0,13.0,-26.5,13.0,20.0,13.0,,20.0,13.0,,35.0,7.0,,,,478.1,0.0,2018
-124.286,54.455,FORT ST JAMES AUTO,1092975,BC,-8.0,0.0,,2.9,0.0,-26.2,0.0,,,,28.8,0.0,,35.0,8.0,,,,806.0,0.0,2018
-122.286,52.531,MCLEESE LAKE GRANITE MT,1095018,BC,-4.8,19.0,,7.0,14.0,-27.0,15.0,34.6,14.0,,34.6,14.0,,50.0,9.0,,,,274.0,0.0,2018
-122.678,53.884,PRINCE GEORGE,1096439,BC,-4.5,15.0,,7.2,15.0,-22.4,15.0,,,,14.7,15.0,,,5.0,,,,360.1,0.0,2018
-122.672,53.889,PRINCE GEORGE AIRPORT AUTO,1096453,BC,-7.2,0.0,,7.2,0.0,-29.3,0.0,,,,33.2,0.0,,25.0,10.0,,,,780.3,0.0,2018
-122.768,53.88,PRINCE GEORGE STP,1096468,BC,-5.0,0.0,1.7,10.0,0.0,-25.5,0.0,42.4,0.0,99.0,47.6,0.0,88.0,27.0,12.0,,,,713.2,0.0,2018
-122.51,53.026,QUESNEL,1096629,BC,-6.5,2.0,,7.8,2.0,-28.8,2.0,,,,0.0,2.0,,,0.0,,,,711.2,0.0,2018
-122.506,53.027,QUESNEL AIRPORT AUTO,1096631,BC,-5.9,0.0,,7.7,0.0,-28.5,0.0,,,,24.8,0.0,,22.0,10.0,,,,741.6,0.0,2018
-121.686,52.184,SPOKIN LAKE 4E,1097646,BC,-6.3,0.0,1.3,8.0,0.0,-34.0,0.0,50.0,0.0,137.0,51.6,0.0,113.0,28.0,15.0,,,,754.0,0.0,2018
-122.054,52.183,WILLIAMS LAKE A,1098941,BC,-4.9,0.0,,6.5,0.0,-28.0,0.0,31.6,0.0,,45.4,0.0,,24.0,12.0,,,,711.4,0.0,2018
-124.017,54.033,VANDERHOOF,1098D90,BC,-8.5,0.0,0.5,4.5,0.0,-30.0,0.0,35.2,0.0,93.0,39.0,0.0,88.0,0.0,10.0,,,,820.1,0.0,2018
-121.263,51.623,108 MILE HOUSE ABEL LAKE,109E7R6,BC,-5.1,1.0,,6.0,1.0,-27.5,1.0,21.0,1.0,,22.2,1.0,,0.0,8.0,,,,691.5,0.0,2018
-122.36,49.025,ABBOTSFORD A,1100031,BC,4.3,0.0,,12.7,0.0,-6.0,0.0,0.6,0.0,,253.9,0.0,,,23.0,,,,425.9,0.0,2018
-121.76,49.243,AGASSIZ RCS,1100119,BC,3.7,0.0,0.3,11.4,0.0,-4.4,0.0,,,,265.2,0.0,,,31.0,,,,442.8,0.0,2018
-121.76,49.243,AGASSIZ CDA,1100120,BC,4.4,12.0,1.0,10.5,8.0,-4.0,9.0,0.0,8.0,,261.6,8.0,,0.0,22.0,,,,258.9,0.0,2018
-122.955,50.129,WHISTLER - NESTERS,1100875,BC,-0.8,0.0,,5.3,0.0,-13.0,0.0,,,,149.6,0.0,,81.0,19.0,,,,582.7,0.0,2018
-122.936,50.102,BLACKCOMB BASE SLIDING CENTER,1100881,BC,-1.0,0.0,,4.7,0.0,-11.4,0.0,,,,211.2,0.0,,137.0,21.0,,,,588.6,0.0,2018
-122.918,49.278,BURNABY SIMON FRASER U,1101158,BC,6.3,23.0,2.7,15.0,23.0,2.0,23.0,0.0,23.0,,115.7,23.0,,,8.0,,,,93.7,0.0,2018
-123.111,50.144,CALLAGHAN VALLEY,1101300,BC,0.3,0.0,,7.3,0.0,-9.3,0.0,,,,331.0,0.0,,204.0,21.0,,,,549.9,0.0,2018
-122.698,49.109,CLOVERDALE EAST,1101708,BC,1.1,26.0,,7.5,26.0,-4.5,26.0,0.0,26.0,,14.4,26.0,,,2.0,,,,84.3,0.0,2018
-123.002,49.126,DELTA BURNS BOG,1102415,BC,4.7,0.0,,11.9,0.0,-5.8,0.0,,,,237.1,0.0,,,23.0,,,,413.4,0.0,2018
-123.093,49.011,DELTA TSAWWASSEN BEACH,1102425,BC,4.6,3.0,-0.5,12.0,3.0,-5.0,3.0,0.0,2.0,,184.5,2.0,,0.0,19.0,,,,374.7,0.0,2018
-122.551,49.145,FORT LANGLEY TELEGRAPH TRAIL,1102912,BC,4.4,0.0,,12.0,0.0,-5.5,0.0,0.0,0.0,,285.6,0.0,,0.0,26.0,,,,421.7,0.0,2018
-122.573,49.264,HANEY UBC RF ADMIN,1103332,BC,4.3,6.0,1.0,10.0,6.0,-4.0,6.0,2.0,6.0,,384.5,6.0,,0.0,22.0,,,,343.4,0.0,2018
-122.507,49.211,MAPLE RIDGE KANAKA CREEK,1104R02,BC,4.0,0.0,1.5,10.0,0.0,-4.5,0.0,0.0,0.0,0.0,348.6,0.0,126.0,0.0,24.0,,,,434.4,0.0,2018
-122.271,49.153,MISSION WEST ABBEY,1105192,BC,3.7,0.0,0.5,11.5,0.0,-6.5,0.0,0.0,0.0,0.0,298.0,0.0,118.0,0.0,23.0,,,,443.0,0.0,2018
-123.078,49.182,RICHMOND OPERATIONS CENTRE,1105210,BC,,,,,,,,,,,277.4,1.0,,,26.0,,,,,,2018
-123.078,49.381,N VANC GROUSE MTN RESORT,1105658,BC,1.6,8.0,1.9,15.0,7.0,-6.0,8.0,182.0,7.0,,374.0,7.0,,0.0,19.0,,,,378.0,0.0,2018
-123.115,49.315,N VANCOUVER WHARVES,1105669,BC,,,,,,,,0.0,5.0,,387.7,5.0,,,21.0,,,,,,2018
-122.69,49.208,PITT MEADOWS CS,1106178,BC,4.7,0.0,,11.9,0.0,-3.5,0.0,,,,322.1,0.0,,,24.0,,,,412.6,0.0,2018
-123.265,49.33,POINT ATKINSON,1106200,BC,6.3,0.0,,13.0,0.0,0.0,0.0,,,,292.9,0.0,,,24.0,,,,363.2,0.0,2018
-123.087,49.179,RICHMOND DALLYN 2,1106764,BC,,,,,,,,0.0,1.0,,278.8,1.0,,0.0,23.0,,,,,,2018
-122.881,49.279,PORT MOODY GLENAYRE,1106CL2,BC,4.7,0.0,0.8,12.0,0.0,-4.0,0.0,1.0,0.0,6.0,441.1,0.0,155.0,0.0,25.0,,,,413.4,0.0,2018
-123.093,49.171,RICHMOND NATURE PARK,1106PF7,BC,5.4,0.0,1.5,13.0,0.0,-5.0,0.0,0.0,0.0,0.0,280.4,0.0,157.0,0.0,25.0,,,,389.1,0.0,2018
-123.303,49.106,SANDHEADS CS,1107010,BC,6.0,0.0,,10.9,0.0,-0.2,0.0,,,,,,,,,,,,371.3,0.0,2018
-122.11,49.113,SUMAS CANAL,1107785,BC,3.6,19.0,,13.5,11.0,-5.0,12.0,19.0,11.0,,249.0,11.0,,0.0,16.0,,,,173.2,0.0,2018
