Long,Lat,Stn_Name,Clim_ID,Prov_or_Ter,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,year
-123.426,48.647,VICTORIA INTL A,1018621,BC,17.4,0.0,,32.4,0.0,9.6,0.0,0.0,0.0,,1.6,0.0,,,1.0,,,,34.3,16.3,2018
-124.16,49.35,BALLENAS ISLAND,1020590,BC,19.3,1.0,,28.2,1.0,14.0,1.0,,,,1.0,1.0,,,1.0,,,,5.5,44.3,2018
-125.273,49.952,CAMPBELL RIVER A,1021261,BC,18.5,0.0,1.3,33.5,0.0,5.5,0.0,0.0,0.0,,8.4,0.0,19.0,0.0,2.0,,,,20.5,37.1,2018
-125.195,49.998,CAPE MUDGE,1021330,BC,19.1,0.0,1.9,30.0,0.0,12.0,0.0,0.0,0.0,,8.2,0.0,18.0,0.0,3.0,,,,11.9,44.6,2018
-125.446,50.333,CHATHAM POINT,1021480,BC,15.8,29.0,-0.2,21.0,29.0,10.5,29.0,0.0,29.0,,0.0,29.0,,,0.0,,,,4.5,0.0,2018
-124.683,49.472,CHROME ISLAND,1021500,BC,19.1,0.0,,29.0,0.0,12.0,0.0,0.0,0.0,,2.0,0.0,,0.0,1.0,,,,5.9,40.3,2018
-124.9,49.717,COMOX A,1021830,BC,20.0,4.0,2.1,32.6,4.0,11.5,4.0,0.0,4.0,,2.4,4.0,,,1.0,,,,6.9,59.6,2018
-124.949,50.071,CORTES ISLAND TIBER BAY,1021960,BC,19.7,2.0,,32.5,2.0,9.5,2.0,0.0,2.0,,8.6,2.0,,,3.0,,,,4.8,53.1,2018
-125.033,49.686,COURTENAY PUNTLEDGE,1021989,BC,20.0,16.0,,34.0,10.0,8.0,10.0,0.0,10.0,,6.8,10.0,,0.0,2.0,,,,2.0,31.8,2018
-123.811,49.209,ENTRANCE ISLAND,1022689,BC,19.0,1.0,,26.8,1.0,13.3,1.0,,,,6.0,1.0,,,2.0,,,,10.5,40.5,2018
-125.993,50.454,FANNY ISLAND,1022795,BC,14.4,0.0,,22.6,0.0,9.9,0.0,,,,8.0,0.0,,,3.0,,,,111.5,0.0,2018
-125.203,50.099,HERIOT BAY SE,1023462,BC,19.1,0.0,,32.0,0.0,11.0,0.0,0.0,0.0,,8.4,0.0,,0.0,4.0,,,,10.3,45.2,2018
-124.512,49.353,LITTLE QUALICUM HATCHERY,1024638,BC,17.7,14.0,1.3,33.0,14.0,6.5,14.0,0.0,14.0,,0.0,14.0,,,0.0,,,,16.3,11.3,2018
-123.87,49.054,NANAIMO A,1025369,BC,18.9,0.0,,34.0,0.0,7.5,0.0,0.0,0.0,,3.0,0.0,,0.0,2.0,,,,17.0,43.9,2018
-123.988,49.199,NANAIMO CITY YARD,10253G0,BC,,,,,,,,0.0,0.0,,9.8,0.0,34.0,0.0,2.0,,,,,,2018
-127.367,50.681,PORT HARDY A,1026271,BC,14.4,3.0,,23.4,0.0,6.1,3.0,0.0,0.0,,34.0,0.0,,,4.0,,,,102.0,0.0,2018
-124.394,49.337,QUALICUM BEACH AIRPORT,1026562,BC,18.8,0.0,,32.1,0.0,9.4,0.0,,,,0.8,0.0,,,0.0,,,,17.1,41.0,2018
-124.617,49.394,QUALICUM R FISH RESEARCH,1026565,BC,18.4,8.0,1.7,30.0,8.0,8.0,8.0,0.0,8.0,,2.5,8.0,,,1.0,,,,13.4,22.6,2018
-125.304,50.016,QUINSAM RIVER HATCHERY,1026639,BC,18.7,0.0,1.4,33.5,0.0,8.0,0.0,0.0,0.0,,5.8,0.0,12.0,0.0,1.0,,,,14.4,37.4,2018
-124.435,49.487,SISTERS ISLAND,1027403,BC,20.2,15.0,,28.0,15.0,15.9,15.0,,,,,,,,,,,,0.7,35.3,2018
-123.809,49.209,ENTRANCE ISLAND,102BFHH,BC,19.3,5.0,,26.5,5.0,11.0,5.0,0.0,5.0,,7.3,5.0,,0.0,2.0,,,,7.4,40.8,2018
-124.982,49.337,ALBERNI ROBERTSON CREEK,1030230,BC,20.0,0.0,1.4,37.0,0.0,7.0,0.0,0.0,0.0,,16.2,0.0,35.0,0.0,2.0,,,,10.4,72.0,2018
-125.216,48.786,CAPE BEALE LIGHT,1031316,BC,14.3,0.0,0.3,23.0,0.0,9.0,0.0,0.0,0.0,,15.2,0.0,21.0,0.0,6.0,,,,114.4,0.0,2018
-126.418,49.8,CONUMA RIVER HATCHERY,1031844,BC,,,,,,,,0.0,0.0,,9.9,0.0,7.0,0.0,4.0,,,,,,2018
-126.543,49.383,ESTEVAN POINT,1032730,BC,15.4,0.0,0.7,22.5,0.0,9.5,0.0,0.0,0.0,,6.6,0.0,7.0,0.0,2.0,,,,80.1,0.0,2018
-126.543,49.383,ESTEVAN POINT CS,1032731,BC,14.9,0.0,,22.1,0.0,8.8,0.0,,,,3.4,0.0,,,1.0,,,,95.9,0.0,2018
-125.923,49.111,LENNARD ISLAND,1034600,BC,12.7,0.0,,20.5,0.0,6.0,0.0,0.0,0.0,,6.4,0.0,8.0,0.0,3.0,,,,163.3,0.0,2018
-124.655,48.859,NITINAT RIVER HATCHERY,1035612,BC,17.1,0.0,0.5,31.0,0.0,3.5,0.0,0.0,0.0,,6.5,0.0,7.0,0.0,5.0,,,,43.3,15.3,2018
-126.617,49.6,NOOTKA LIGHTSTATION,1035614,BC,17.1,19.0,0.9,23.0,19.0,13.5,19.0,0.0,19.0,,1.8,19.0,,,0.0,,,,13.1,2.3,2018
-125.097,48.723,PACHENA POINT,1035940,BC,13.6,0.0,-0.6,25.0,0.0,6.5,0.0,0.0,0.0,,19.4,0.0,23.0,0.0,7.0,,,,137.5,0.0,2018
-124.752,49.202,PORT ALBERNI COX LAKE,1036208,BC,19.0,16.0,1.4,34.5,16.0,8.5,16.0,0.0,16.0,,2.2,16.0,,,1.0,,,,4.6,19.4,2018
-124.927,49.317,PORT ALBERNI (AUT),1036B06,BC,19.6,0.0,,37.2,0.0,6.0,0.0,,,,4.5,0.0,,,2.0,,,,11.7,62.5,2018
-128.908,50.821,SARTINE ISLAND (AUT),1037090,BC,13.8,4.0,,18.6,4.0,11.1,4.0,,,,19.6,4.0,,,4.0,,,,114.1,0.0,2018
-127.94,50.112,SOLANDER ISLAND (AUT),1037553,BC,13.7,4.0,,22.1,4.0,9.6,4.0,,,,15.4,4.0,,,6.0,,,,114.8,0.0,2018
-126.654,49.932,TAHSIS VILLAGE NORTH,1037899,BC,19.2,11.0,,31.0,11.0,9.0,11.0,,,,,,,,,,,,5.0,29.8,2018
-125.773,49.082,TOFINO A,1038205,BC,15.5,0.0,0.5,26.0,0.0,8.5,0.0,0.0,0.0,,8.6,0.0,10.0,0.0,2.0,,,,79.3,2.2,2018
-125.527,48.945,UCLUELET KENNEDY CAMP,1038332,BC,15.7,0.0,0.7,27.0,0.0,10.0,0.0,0.0,0.0,,10.8,0.0,12.0,0.0,4.0,,,,73.5,3.1,2018
-126.779,50.053,ZEBALLOS MURAUDE CREEK,1039035,BC,18.8,3.0,,34.0,3.0,9.5,3.0,0.0,3.0,,9.0,3.0,,0.0,4.0,,,,10.3,33.0,2018
-123.541,49.386,GIBSONS GOWER POINT,1043152,BC,18.2,8.0,0.3,26.5,8.0,12.0,8.0,0.0,8.0,,2.6,8.0,,0.0,1.0,,,,13.3,17.4,2018
-123.913,49.468,MERRY ISLAND LIGHTSTATION,1045100,BC,19.7,0.0,1.5,28.0,0.0,13.5,0.0,0.0,0.0,,9.6,0.0,27.0,0.0,2.0,,,,4.3,57.9,2018
-123.299,49.488,HOWE SOUND - PAM ROCKS,10459NN,BC,19.5,0.0,,26.9,0.0,13.7,0.0,,,,7.2,0.0,,,3.0,,,,9.1,55.1,2018
-124.032,49.634,PENDER HARBOUR,1046115,BC,,,,,,,,0.0,0.0,,11.4,0.0,,0.0,3.0,,,,,,2018
-123.496,49.526,PORT MELLON,1046332,BC,19.3,0.0,,32.1,0.0,10.0,0.0,,,,12.4,0.0,,,2.0,,,,18.6,57.6,2018
-124.5,49.834,POWELL RIVER A,1046391,BC,17.9,0.0,0.6,32.0,0.0,7.0,0.0,0.0,0.0,,2.6,0.0,6.0,0.0,2.0,,,,30.6,26.3,2018
-124.497,49.835,POWELL RIVER,1046392,BC,17.8,0.0,,32.0,0.0,7.2,0.0,,,,2.1,0.0,,,1.0,,,,33.2,28.2,2018
-123.715,49.458,SECHELT AUT,1047172,BC,18.4,0.0,,31.6,0.0,8.8,0.0,,,,2.4,0.0,,,1.0,,,,24.7,37.5,2018
-123.161,49.783,SQUAMISH AIRPORT,10476F0,BC,19.2,0.0,,35.3,0.0,7.3,0.0,,,,10.6,0.0,,,3.0,,,,18.1,54.6,2018
-122.955,50.129,WHISTLER,1048898,BC,18.2,4.0,1.7,35.0,4.0,5.0,4.0,0.0,4.0,,15.2,4.0,,0.0,4.0,,,,35.9,40.3,2018
-131.016,51.936,CAPE ST JAMES,1051351,BC,14.1,4.0,,21.6,4.0,10.9,4.0,,,,12.0,4.0,,,5.0,,,,105.7,0.0,2018
-132.772,53.316,KINDAKUN ROCKS (AUT),1054222,BC,13.6,5.0,,17.0,5.0,10.5,5.0,,,,61.4,5.0,,,9.0,,,,115.6,0.0,2018
-133.058,54.255,LANGARA,1054500,BC,14.0,0.0,0.4,21.0,0.0,11.0,0.0,0.0,0.0,,73.0,0.0,54.0,0.0,9.0,,,,122.6,0.0,2018
-131.661,54.159,ROSE SPIT (AUT),1056869,BC,14.6,2.0,,21.2,2.0,8.4,2.0,,,,34.6,2.0,,,6.0,,,,98.2,0.0,2018
-131.813,53.249,SANDSPIT AIRPORT AUTO,1057051,BC,16.8,0.0,,25.0,0.0,10.8,0.0,,,,3.6,0.0,,,1.0,,,,43.1,6.4,2018
-131.814,53.254,SANDSPIT,1057052,BC,17.1,7.0,,25.0,7.0,11.1,7.0,,,,4.0,7.0,,,1.0,,,,26.9,6.3,2018
-127.864,51.604,ADDENBROKE ISLAND,1060080,BC,15.8,4.0,0.6,22.5,4.0,10.5,4.0,0.0,4.0,,43.8,4.0,,0.0,6.0,,,,59.6,0.0,2018
-128.157,52.185,BELLA BELLA,1060815,BC,16.3,5.0,,30.7,5.0,5.4,5.0,,,,25.0,5.0,,,4.0,,,,49.5,4.7,2018
-126.587,52.389,BELLA COOLA AIRPORT,1060844,BC,18.6,1.0,,33.9,1.0,7.2,1.0,,,,12.9,1.0,,,2.0,,,,22.5,39.6,2018
-128.524,52.643,BOAT BLUFF,1060901,BC,16.6,0.0,1.5,28.0,0.0,10.0,0.0,0.0,0.0,,44.6,0.0,19.0,0.0,9.0,,,,53.1,8.9,2018
-130.638,53.493,BONILLA ISLAND,1060902,BC,14.2,0.0,0.2,22.0,0.0,10.0,0.0,0.0,0.0,,32.2,0.0,29.0,0.0,6.0,,,,117.7,0.0,2018
-130.639,53.493,BONILLA ISLAND (AUT),1060R0K,BC,13.6,10.0,,20.9,10.0,10.4,10.0,,,,17.0,10.0,,,5.0,,,,93.4,0.0,2018
-127.471,52.187,CATHEDRAL POINT (AUT),1061458,BC,17.5,5.0,,26.6,5.0,11.9,5.0,,,,19.8,5.0,,,5.0,,,,31.1,17.0,2018
-131.602,53.03,CUMSHEWA ISLAND,1062251,BC,16.4,5.0,,21.2,5.0,11.6,5.0,,,,5.4,5.0,,,2.0,,,,42.1,0.2,2018
-128.112,52.185,DRYAD POINT,1062544,BC,17.1,0.0,1.2,28.5,0.0,10.0,0.0,0.0,0.0,,31.0,0.0,21.0,0.0,7.0,,,,38.1,9.3,2018
-130.708,54.569,GREEN ISLAND,1063298,BC,15.5,8.0,0.7,22.0,7.0,11.5,8.0,0.0,0.0,,48.6,0.0,29.0,0.0,8.0,,,,58.3,0.0,2018
-130.698,54.58,GREY ISLET (AUT),1063303,BC,14.9,4.0,,21.7,4.0,11.2,4.0,,,,28.0,4.0,,,8.0,,,,82.4,0.0,2018
-130.361,54.172,HOLLAND ROCK,1063496,BC,13.1,9.0,,17.5,9.0,10.3,9.0,,,,31.2,9.0,,,8.0,,,,107.2,0.0,2018
-128.407,52.27,IVORY ISLAND,1063690,BC,15.5,0.0,0.6,24.5,0.0,10.0,0.0,0.0,0.0,,27.3,0.0,17.0,0.0,5.0,,,,78.8,1.8,2018
-127.943,53.563,KEMANO,1064020,BC,19.0,0.0,2.6,33.0,0.0,8.5,0.0,0.0,0.0,,7.3,0.0,9.0,0.0,5.0,,,,16.5,47.2,2018
-128.634,54.054,KITIMAT TOWNSITE,1064320,BC,19.4,0.0,2.9,32.0,0.0,5.0,0.0,0.0,0.0,,4.7,0.0,5.0,0.0,3.0,,,,13.5,56.0,2018
-128.705,54.01,KITIMAT 2,1064321,BC,19.5,2.0,2.5,36.0,2.0,6.0,2.0,0.0,2.0,,7.8,2.0,,0.0,2.0,,,,8.5,52.9,2018
-130.609,54.296,LUCY ISLAND LIGHTSTATION,1064728,BC,14.3,1.0,,20.4,1.0,11.1,1.0,,,,,,,,,,,,110.5,0.0,2018
-128.719,52.262,MCINNES ISLAND,1065010,BC,15.3,0.0,0.6,21.0,0.0,11.0,0.0,0.0,0.0,,26.6,0.0,20.0,0.0,9.0,,,,83.5,0.0,2018
-130.445,54.286,PRINCE RUPERT,1066482,BC,14.8,6.0,,23.1,6.0,8.3,4.0,,,,44.2,5.0,,,10.0,,,,80.2,0.0,2018
-128.625,54.502,TERRACE PCC,1068131,BC,19.6,5.0,2.8,32.0,5.0,8.5,5.0,0.0,5.0,,6.2,5.0,,,2.0,,,,5.3,46.1,2018
-128.578,54.469,TERRACE A,1068134,BC,18.6,0.0,,31.2,0.0,8.4,0.0,0.0,0.0,,9.4,0.0,,,5.0,,,,21.4,39.2,2018
-130.88,54.295,TRIPLE ISLAND,1068250,BC,14.2,0.0,,21.0,0.0,10.0,0.0,0.0,0.0,,24.8,0.0,,0.0,7.0,,,,118.4,0.0,2018
-126.668,54.396,HOUSTON,1073615,BC,17.2,9.0,,31.0,9.0,2.0,9.0,0.0,14.0,,0.0,14.0,,,0.0,,,,33.2,15.6,2018
-127.183,54.825,SMITHERS,1077499,BC,16.4,0.0,,30.4,0.0,1.9,0.0,,,,0.0,0.0,,,0.0,,,,61.6,10.9,2018
-127.183,54.825,SMITHERS A,1077500,BC,17.1,0.0,2.4,30.5,0.0,4.0,0.0,0.0,0.0,,1.2,0.0,3.0,0.0,0.0,,,,47.4,18.1,2018
-127.189,54.824,SMITHERS AIRPORT AUTO,1077501,BC,16.8,0.0,,30.2,0.0,3.5,0.0,,,,21.6,0.0,,,12.0,,,,52.5,16.2,2018
-127.171,55.289,SUSKWA VALLEY,107G879,BC,14.9,3.0,0.9,29.5,3.0,0.0,3.0,0.0,3.0,,7.0,3.0,,0.0,4.0,,,,91.3,3.1,2018
-125.997,53.772,OOTSA LAKESKINS LAKE CLIMATE,1085836,BC,15.7,0.0,,27.3,0.0,3.9,0.0,,,,1.9,0.0,,,0.0,,,,76.7,4.9,2018
-122.738,50.302,PEMBERTON AIRPORT (WIND),1086081,BC,20.1,0.0,,39.8,0.0,6.7,0.0,,,,,,,,,,,,13.2,78.3,2018
-122.734,50.306,PEMBERTON AIRPORT CS,1086082,BC,20.1,1.0,,38.7,1.0,6.8,1.0,,,,15.6,1.0,,,3.0,,,,12.3,74.8,2018
-124.136,52.114,PUNTZI MOUNTAIN (AUT),1086558,BC,15.2,0.0,,33.0,0.0,0.2,0.0,,,,23.9,0.0,,,5.0,,,,94.0,8.5,2018
-124.403,51.675,TATLAYOKO LAKE RCS,1088015,BC,15.0,0.0,,31.8,0.0,-0.6,0.0,,,,25.0,0.0,,,8.0,,,,98.9,4.9,2018
-125.959,54.383,BURNS LAKE DECKER LAKE,1091174,BC,13.7,0.0,,29.1,0.0,-2.1,0.0,,,,3.3,0.0,,,0.0,,,,135.9,1.4,2018
-124.286,54.455,FORT ST JAMES,1092970,BC,16.8,14.0,2.0,28.0,14.0,3.5,14.0,0.0,14.0,,0.0,14.0,,,0.0,,,,26.2,6.4,2018
-124.286,54.455,FORT ST JAMES AUTO,1092975,BC,16.8,0.0,,28.6,0.0,3.7,0.0,,,,3.2,0.0,,,1.0,,,,50.6,12.8,2018
-122.286,52.531,MCLEESE LAKE GRANITE MT,1095018,BC,15.5,18.0,,32.0,13.0,3.0,12.0,0.0,13.0,,35.3,13.0,,0.0,5.0,,,,34.9,2.5,2018
-122.678,53.884,PRINCE GEORGE,1096439,BC,15.7,3.0,,30.0,3.0,-1.3,3.0,,,,2.0,5.0,,,1.0,,,,73.1,7.9,2018
-122.672,53.889,PRINCE GEORGE AIRPORT AUTO,1096453,BC,15.6,0.0,,30.0,0.0,-0.8,0.0,,,,8.1,0.0,,,3.0,,,,83.3,7.9,2018
-122.791,53.9,PRINCE GEORGE MASSEY AUTO,1096454,BC,17.8,0.0,,30.6,0.0,4.0,0.0,,,,10.8,0.0,,,3.0,,,,35.6,28.4,2018
-122.768,53.88,PRINCE GEORGE STP,1096468,BC,17.5,3.0,1.5,31.0,2.0,3.5,3.0,0.0,0.0,,15.6,0.0,34.0,0.0,3.0,,,,34.5,19.9,2018
-122.51,53.026,QUESNEL,1096629,BC,16.5,3.0,,32.5,3.0,2.6,3.0,,,,35.6,5.0,,,3.0,,,,57.4,14.4,2018
-122.506,53.027,QUESNEL AIRPORT AUTO,1096631,BC,16.3,0.0,,32.3,0.0,2.2,0.0,,,,31.4,0.0,,,3.0,,,,67.4,15.0,2018
-121.686,52.184,SPOKIN LAKE 4E,1097646,BC,12.3,0.0,-0.5,34.0,0.0,-4.0,0.0,0.0,0.0,,28.6,0.0,54.0,0.0,9.0,,,,177.7,1.0,2018
-122.054,52.183,WILLIAMS LAKE A,1098941,BC,16.3,1.0,,33.8,1.0,5.0,0.0,0.0,1.0,,32.2,1.0,,,6.0,,,,70.5,19.0,2018
-124.017,54.033,VANDERHOOF,1098D90,BC,17.0,0.0,1.2,31.0,0.0,3.0,0.0,0.0,0.0,,3.0,0.0,7.0,0.0,2.0,,,,46.8,17.3,2018
-121.263,51.623,108 MILE HOUSE ABEL LAKE,109E7R6,BC,15.9,0.0,,34.5,0.0,3.0,0.0,0.0,0.0,,40.5,0.0,,0.0,5.0,,,,86.4,20.4,2018
-122.36,49.025,ABBOTSFORD A,1100031,BC,19.1,0.0,,35.6,0.0,9.5,0.0,0.0,0.0,,8.0,0.0,,,3.0,,,,18.8,54.3,2018
-121.76,49.243,AGASSIZ RCS,1100119,BC,19.5,3.0,0.7,34.5,3.0,8.8,3.0,,,,18.5,3.0,,,4.0,,,,18.0,59.9,2018
-121.76,49.243,AGASSIZ CDA,1100120,BC,19.3,0.0,0.7,34.0,0.0,9.0,0.0,0.0,0.0,,21.7,0.0,37.0,0.0,4.0,,,,21.4,63.1,2018
-122.955,50.129,WHISTLER - NESTERS,1100875,BC,18.0,0.0,,34.7,0.0,5.3,0.0,,,,11.0,0.0,,,3.0,,,,38.5,39.1,2018
-122.918,49.278,BURNABY SIMON FRASER U,1101158,BC,19.4,1.0,2.2,31.0,1.0,8.5,1.0,0.0,1.0,,4.8,1.0,,,3.0,,,,27.1,69.1,2018
-123.111,50.144,CALLAGHAN VALLEY,1101300,BC,16.9,0.0,,32.0,0.0,5.2,0.0,,,,9.2,0.0,,,4.0,,,,67.1,33.9,2018
-122.698,49.109,CLOVERDALE EAST,1101708,BC,19.6,0.0,,33.5,0.0,10.0,0.0,0.0,0.0,,8.6,0.0,,0.0,3.0,,,,14.3,64.2,2018
-121.979,49.079,CULTUS LAKE,1102221,BC,19.7,0.0,,36.5,0.0,9.4,0.0,,,,42.2,0.0,,,6.0,,,,16.8,68.0,2018
-123.002,49.126,DELTA BURNS BOG,1102415,BC,17.7,0.0,,32.8,0.0,6.8,0.0,,,,6.4,0.0,,,3.0,,,,34.9,25.1,2018
-123.093,49.011,DELTA TSAWWASSEN BEACH,1102425,BC,17.2,3.0,-0.7,28.5,3.0,9.5,3.0,0.0,2.0,,5.4,2.0,,0.0,2.0,,,,35.0,12.2,2018
-122.551,49.145,FORT LANGLEY TELEGRAPH TRAIL,1102912,BC,19.5,0.0,,35.0,0.0,9.0,0.0,0.0,0.0,,15.2,0.0,,0.0,4.0,,,,17.9,64.0,2018
-122.573,49.264,HANEY UBC RF ADMIN,1103332,BC,19.3,0.0,1.5,34.0,0.0,9.0,0.0,0.0,0.0,,17.2,0.0,24.0,0.0,5.0,,,,20.3,60.3,2018
-122.271,49.153,MISSION WEST ABBEY,1105192,BC,19.8,0.0,1.5,34.0,0.0,10.5,0.0,0.0,0.0,,23.4,0.0,37.0,0.0,4.0,,,,20.4,75.9,2018
-123.078,49.381,N VANC GROUSE MTN RESORT,1105658,BC,16.0,8.0,2.0,30.0,8.0,6.0,8.0,0.0,8.0,,45.0,8.0,,,4.0,,,,69.2,23.6,2018
-123.115,49.315,N VANCOUVER WHARVES,1105669,BC,,,,,,,,0.0,3.0,,9.3,3.0,,0.0,3.0,,,,,,2018
-122.69,49.208,PITT MEADOWS CS,1106178,BC,19.5,0.0,,34.3,0.0,9.4,0.0,,,,10.1,0.0,,,4.0,,,,15.7,61.7,2018
-123.265,49.33,POINT ATKINSON,1106200,BC,19.1,2.0,,28.5,2.0,13.3,2.0,,,,9.8,2.0,,,3.0,,,,7.9,39.2,2018
-123.087,49.179,RICHMOND DALLYN 2,1106764,BC,,,,,,,,0.0,1.0,,13.2,1.0,,0.0,2.0,,,,,,2018
-122.881,49.279,PORT MOODY GLENAYRE,1106CL2,BC,19.6,1.0,1.5,32.5,1.0,10.0,1.0,0.0,1.0,,16.5,1.0,,0.0,4.0,,,,16.7,64.5,2018
-123.093,49.171,RICHMOND NATURE PARK,1106PF7,BC,19.2,0.0,0.9,33.5,0.0,6.0,0.0,0.0,0.0,,11.6,0.0,29.0,0.0,3.0,,,,12.8,48.5,2018
-123.303,49.106,SANDHEADS CS,1107010,BC,18.6,0.0,,26.7,0.0,13.7,0.0,,,,,,,,,,,,12.8,31.7,2018
-122.11,49.113,SUMAS CANAL,1107785,BC,19.6,22.0,,32.0,16.0,11.5,16.0,0.0,16.0,,14.2,16.0,,0.0,2.0,,,,3.2,17.9,2018
-123.187,49.183,VANCOUVER SEA ISLAND CCG,1108380,BC,18.7,0.0,,29.5,0.0,10.9,0.0,,,,13.0,0.0,,,2.0,,,,14.0,34.7,2018
-123.184,49.195,VANCOUVER INTL A,1108395,BC,18.5,1.0,,29.0,0.0,10.8,1.0,0.0,0.0,,16.2,0.0,,,2.0,,,,16.1,31.0,2018
-123.122,49.295,VANCOUVER HARBOUR CS,1108446,BC,19.5,0.0,,31.0,0.0,11.9,0.0,,,,5.0,0.0,,,2.0,,,,8.1,53.8,2018
-123.193,49.347,WEST VANCOUVER AUT,1108824,BC,19.6,0.0,,31.5,0.0,10.5,0.0,,,,10.8,0.0,,,3.0,,,,14.0,63.1,2018
-122.947,50.068,WHISTLER ROUNDHOUSE,1108906,BC,12.5,1.0,,23.0,1.0,1.0,1.0,0.0,1.0,,22.2,1.0,,0.0,6.0,,,,168.9,3.8,2018
-122.784,49.018,WHITE ROCK CAMPBELL SCIENTIFIC,1108910,BC,18.1,2.0,,31.6,2.0,10.0,2.0,,,,5.4,2.0,,,3.0,,,,23.7,27.5,2018
-121.498,49.368,HOPE A,1113542,BC,21.1,5.0,,34.6,5.0,11.6,5.0,,,,16.1,5.0,,,2.0,,,,1.5,82.7,2018
-121.493,49.37,HOPE AIRPORT,1113543,BC,20.3,1.0,,34.6,1.0,11.2,1.0,,,,21.3,1.0,,,3.0,,,,12.4,80.0,2018
-121.233,49.267,HOPE SLIDE,1113581,BC,16.5,0.0,1.3,33.5,0.0,6.5,0.0,0.0,0.0,,16.0,0.0,39.0,0.0,5.0,,,,70.5,25.2,2018
-121.934,50.684,LILLOOET,1114619,BC,21.9,0.0,,39.2,0.0,10.2,0.0,,,,,,,,,,,,6.4,127.2,2018
-121.582,50.224,LYTTON A,1114738,BC,23.1,4.0,,39.8,4.0,9.5,4.0,,,,11.8,4.0,,,3.0,,,,0.4,138.2,2018
-121.582,50.224,LYTTON RCS,1114746,BC,22.4,0.0,,40.6,0.0,9.4,0.0,,,,10.8,9.0,,,2.0,,,,6.5,141.5,2018
-120.333,49.673,JELLICOE,1123721,BC,16.9,1.0,,37.0,1.0,2.5,1.0,0.0,1.0,,14.4,1.0,,0.0,4.0,,,,64.7,32.3,2018
-119.378,49.957,KELOWNA,1123939,BC,19.1,2.0,,36.8,2.0,5.6,2.0,,,,8.0,2.0,,,3.0,,,,27.1,58.2,2018
